Date,Year,Month,WaterYear,TWtrTriquet_north_sgrassQ_level,TWtrTriquet_north_sgrassQ_flags,TWtrTriquet_north_sgrassUNESCO_Q_level,TWtrTriquet_north_sgrass,TWtrTriquet_north_sgrassMed,TWtrTriquet_north_sgrassAvg,TWtrTriquet_north_sgrassMin,TWtrTriquet_north_sgrassMax
2016-11-28,2016,Nov,2016-2017,1,,2,10.553,10.025875,10.04559375,9.571,10.553
2016-11-29,2016,Nov,2016-2017,1,,2,10.161,9.85375,9.93415277777778,9.669,10.553
2016-11-30,2016,Nov,2016-2017,1,,2,10.357,9.903125,9.98173611111111,9.571,10.357
2016-12-01,2016,Dec,2016-2017,1,,2,10.063,9.780125,9.79410069444444,9.472,10.357
2016-12-02,2016,Dec,2016-2017,1,,2,10.455,10.07525,10.0768194444444,9.669,10.553
2016-12-03,2016,Dec,2016-2017,1,,2,10.553,10.553,10.5385381944444,10.259,10.651
2016-12-04,2016,Dec,2016-2017,1,,2,9.866,9.952625,9.94700520833333,9.472,10.553
2016-12-05,2016,Dec,2016-2017,1,,2,9.571,9.681375,9.61695659722223,9.176,9.965
2016-12-06,2016,Dec,2016-2017,1,,2,8.779,9.077,9.14927777777778,8.581,9.571
2016-12-07,2016,Dec,2016-2017,1,,2,8.581,8.581,8.57413541666667,8.382,8.779
2016-12-08,2016,Dec,2016-2017,1,,2,8.182,8.182,8.18413020833333,7.882,8.581
2016-12-09,2016,Dec,2016-2017,1,,2,7.882,7.882,7.96048611111111,7.782,8.282
2016-12-10,2016,Dec,2016-2017,1,,2,7.882,7.8695,7.83765972222222,7.582,8.082
2016-12-11,2016,Dec,2016-2017,1,,2,7.882,7.682,7.74801388888889,7.481,8.182
2016-12-12,2016,Dec,2016-2017,1,,2,7.882,7.782,7.80085416666667,7.582,8.182
2016-12-13,2016,Dec,2016-2017,1,,2,7.983,7.983,7.962671875,7.782,8.182
2016-12-14,2016,Dec,2016-2017,1,,2,7.782,7.882,7.87431423611111,7.682,7.983
2016-12-15,2016,Dec,2016-2017,1,,2,7.582,7.782,7.75039583333333,7.481,7.882
2016-12-16,2016,Dec,2016-2017,1,,2,7.481,7.582,7.63209201388889,7.481,7.782
2016-12-17,2016,Dec,2016-2017,1,,2,7.582,7.682,7.67487326388889,7.481,7.983
2016-12-18,2016,Dec,2016-2017,1,,2,8.182,7.882,7.94559027777778,7.582,8.182
2016-12-19,2016,Dec,2016-2017,1,,2,8.082,8.282,8.3504375,8.082,8.68
2016-12-20,2016,Dec,2016-2017,1,,2,9.077,8.692375,8.67111979166667,7.983,9.077
2016-12-21,2016,Dec,2016-2017,1,,2,8.879,9.176,9.12065625,8.879,9.176
2016-12-22,2016,Dec,2016-2017,1,,2,8.581,8.779,8.72521180555555,8.282,8.879
2016-12-23,2016,Dec,2016-2017,1,,2,8.481,8.568375,8.49761805555555,7.782,8.779
2016-12-24,2016,Dec,2016-2017,1,,2,8.282,8.282,8.18012326388889,7.682,8.481
2016-12-25,2016,Dec,2016-2017,1,,2,7.983,8.082,8.04116493055555,7.882,8.282
2016-12-26,2016,Dec,2016-2017,1,,2,8.481,8.282,8.14087152777778,7.682,8.481
2016-12-27,2016,Dec,2016-2017,1,,2,8.68,8.804,8.775578125,8.382,8.978
2016-12-28,2016,Dec,2016-2017,1,,2,8.282,8.481,8.44453125,8.182,8.68
2016-12-29,2016,Dec,2016-2017,1,,2,8.082,8.331875,8.31144444444445,8.082,8.481
2016-12-30,2016,Dec,2016-2017,1,,2,8.182,8.082,8.13484722222222,7.983,8.481
2016-12-31,2016,Dec,2016-2017,1,,2,7.983,8.082,8.05687326388889,7.782,8.382
2017-01-01,2017,Jan,2016-2017,1,,2,7.381,7.632,7.72098263888889,7.381,8.282
2017-01-02,2017,Jan,2016-2017,1,,2,7.481,7.481,7.47877083333333,7.179,8.282
2017-01-03,2017,Jan,2016-2017,1,,2,7.481,7.481,7.48471527777778,7.179,7.582
2017-01-04,2017,Jan,2016-2017,1,,2,7.582,7.55675,7.513234375,7.28,7.582
2017-01-05,2017,Jan,2016-2017,1,,2,7.481,7.481,7.44442534722222,7.28,7.582
2017-01-06,2017,Jan,2016-2017,1,,2,7.582,7.381,7.38841493055556,7.28,7.582
2017-01-07,2017,Jan,2016-2017,1,,2,7.582,7.582,7.58665277777778,7.481,7.682
2017-01-08,2017,Jan,2016-2017,1,,2,7.381,7.481,7.47046006944444,7.381,7.582
2017-01-09,2017,Jan,2016-2017,1,,2,7.079,7.079,7.08045486111111,6.775,7.381
2017-01-10,2017,Jan,2016-2017,1,,2,7.079,6.978,6.99954166666667,6.775,7.28
2017-01-11,2017,Jan,2016-2017,1,,2,6.978,6.965375,6.94993923611111,6.775,7.179
2017-01-12,2017,Jan,2016-2017,1,,2,6.978,6.877,6.88659722222222,6.775,7.079
2017-01-13,2017,Jan,2016-2017,1,,2,6.775,6.877,6.88686631944445,6.775,7.079
2017-01-14,2017,Jan,2016-2017,1,,2,7.079,6.978,6.96330555555556,6.775,7.179
2017-01-15,2017,Jan,2016-2017,1,,2,7.28,7.179,7.20328993055556,7.079,7.381
2017-01-16,2017,Jan,2016-2017,1,,2,7.782,7.381,7.41057986111111,7.28,7.782
2017-01-17,2017,Jan,2016-2017,1,,2,7.782,7.857,7.85864583333333,7.682,7.983
2017-01-18,2017,Jan,2016-2017,1,,2,7.782,7.782,7.77852777777778,7.682,7.882
2017-01-19,2017,Jan,2016-2017,1,,2,7.782,7.782,7.78477777777778,7.782,7.882
2017-01-20,2017,Jan,2016-2017,1,,2,7.582,7.7445,7.75732638888889,7.481,7.983
2017-01-21,2017,Jan,2016-2017,1,,2,7.381,7.682,7.650890625,7.381,7.782
2017-01-22,2017,Jan,2016-2017,1,,2,7.381,7.582,7.53852777777778,7.381,7.782
2017-01-23,2017,Jan,2016-2017,1,,2,7.28,7.406,7.40525173611111,7.179,7.582
2017-01-24,2017,Jan,2016-2017,1,,2,7.179,7.28,7.27596701388889,7.179,7.381
2017-01-25,2017,Jan,2016-2017,1,,2,7.381,7.216875,7.24109375,7.079,7.481
2017-01-26,2017,Jan,2016-2017,1,,2,7.381,7.368375,7.35566666666667,7.28,7.582
2017-01-27,2017,Jan,2016-2017,1,,2,7.882,7.782,7.73872048611111,7.381,7.882
2017-01-28,2017,Jan,2016-2017,1,,2,7.983,7.882,7.890921875,7.782,8.182
2017-01-29,2017,Jan,2016-2017,1,,2,7.983,7.882,7.85227083333333,7.582,8.082
2017-01-30,2017,Jan,2016-2017,1,,2,7.682,7.682,7.69828645833333,7.179,8.082
2017-01-31,2017,Jan,2016-2017,1,,2,7.682,7.28,7.37329861111111,7.079,7.882
2017-02-01,2017,Feb,2016-2017,1,,2,7.179,7.25475,7.31149131944444,7.079,7.782
2017-02-02,2017,Feb,2016-2017,1,,2,7.079,7.1665,7.1368125,7.079,7.179
2017-02-03,2017,Feb,2016-2017,1,,2,6.573,6.674,6.71011458333333,6.471,7.079
2017-02-04,2017,Feb,2016-2017,1,,2,6.471,6.458375,6.41848958333334,6.268,6.573
2017-02-05,2017,Feb,2016-2017,1,,2,6.37,6.268,6.28091145833333,6.064,6.471
2017-02-06,2017,Feb,2016-2017,1,,2,6.268,6.064,6.10664930555556,5.86,6.471
2017-02-07,2017,Feb,2016-2017,1,,2,6.166,5.962,5.95080208333333,5.757,6.268
2017-02-08,2017,Feb,2016-2017,1,,2,6.064,5.86,5.89470486111111,5.757,6.166
2017-02-09,2017,Feb,2016-2017,1,,2,6.37,6.064,6.11730208333333,5.962,6.37
2017-02-10,2017,Feb,2016-2017,1,,2,6.573,6.37,6.37853645833334,6.268,6.775
2017-02-11,2017,Feb,2016-2017,1,,2,6.471,6.37,6.43343402777778,6.268,6.674
2017-02-12,2017,Feb,2016-2017,1,,2,7.381,6.978,7.00334375,6.471,7.381
2017-02-13,2017,Feb,2016-2017,1,,2,7.28,7.28,7.27818229166667,6.978,7.381
2017-02-14,2017,Feb,2016-2017,1,,2,7.179,7.179,7.24159895833333,7.179,7.381
2017-02-15,2017,Feb,2016-2017,1,,2,7.28,7.28,7.29734548611111,7.179,7.481
2017-02-16,2017,Feb,2016-2017,1,,2,7.28,7.28,7.28420833333333,7.179,7.381
2017-02-17,2017,Feb,2016-2017,1,,2,7.179,7.2295,7.21371006944445,7.079,7.28
2017-02-18,2017,Feb,2016-2017,1,,2,7.179,7.28,7.24142361111111,7.179,7.28
2017-02-19,2017,Feb,2016-2017,1,,2,7.079,7.179,7.17647916666667,6.978,7.28
2017-02-20,2017,Feb,2016-2017,1,,2,7.179,7.179,7.15035416666667,6.877,7.28
2017-02-21,2017,Feb,2016-2017,1,,2,7.179,7.179,7.14358333333333,7.079,7.179
2017-02-22,2017,Feb,2016-2017,1,,2,7.079,7.079,7.09707638888889,6.978,7.179
2017-02-23,2017,Feb,2016-2017,1,,2,6.877,6.978,6.98115625,6.877,7.079
2017-02-24,2017,Feb,2016-2017,1,,2,6.877,6.877,6.82322916666667,6.674,6.978
2017-02-25,2017,Feb,2016-2017,1,,2,6.674,6.775,6.76157465277778,6.674,6.978
2017-02-26,2017,Feb,2016-2017,1,,2,6.978,6.775,6.76066666666667,6.573,6.978
2017-02-27,2017,Feb,2016-2017,1,,2,6.674,6.8005,6.81526388888889,6.573,7.079
2017-02-28,2017,Feb,2016-2017,1,,2,6.674,6.674,6.70989583333334,6.573,6.978
2017-03-01,2017,Mar,2016-2017,1,,2,6.674,6.775,6.78515277777778,6.471,7.079
2017-03-02,2017,Mar,2016-2017,1,,2,6.877,6.775,6.82136979166667,6.674,6.978
2017-03-03,2017,Mar,2016-2017,1,,2,6.775,7.0285,7.01432986111111,6.775,7.28
2017-03-04,2017,Mar,2016-2017,1,,2,6.674,6.877,6.892203125,6.674,7.079
2017-03-05,2017,Mar,2016-2017,1,,2,6.573,6.674,6.71861979166667,6.471,6.877
2017-03-06,2017,Mar,2016-2017,1,,2,6.471,6.573,6.57216319444445,6.37,6.775
2017-03-07,2017,Mar,2016-2017,1,,2,6.674,6.471,6.46656423611111,6.268,6.775
2017-03-08,2017,Mar,2016-2017,1,,2,6.775,6.53475,6.56894965277778,6.37,6.978
2017-03-09,2017,Mar,2016-2017,1,,2,6.775,6.37,6.44508333333334,6.166,6.775
2017-03-10,2017,Mar,2016-2017,1,,2,6.775,6.37,6.43372222222222,6.166,6.775
2017-03-11,2017,Mar,2016-2017,1,,2,6.775,6.471,6.52538888888889,6.37,6.877
2017-03-12,2017,Mar,2016-2017,1,,2,6.877,6.7245,6.74207291666667,6.573,6.877
2017-03-13,2017,Mar,2016-2017,1,,2,7.28,7.079,7.06543923611111,6.877,7.28
2017-03-14,2017,Mar,2016-2017,1,,2,7.179,7.179,7.19532118055556,7.079,7.28
2017-03-15,2017,Mar,2016-2017,1,,2,6.877,7.079,7.07438541666666,6.877,7.28
2017-03-16,2017,Mar,2016-2017,1,,2,6.877,6.978,6.96888194444444,6.877,7.079
2017-03-17,2017,Mar,2016-2017,1,,2,6.978,6.978,7.00938715277778,6.877,7.079
2017-03-18,2017,Mar,2016-2017,1,,2,6.978,6.978,6.96875694444445,6.674,7.079
2017-03-19,2017,Mar,2016-2017,1,,2,6.877,7.079,7.04830729166666,6.877,7.179
2017-03-20,2017,Mar,2016-2017,1,,2,7.079,7.041125,6.98780902777778,6.674,7.179
2017-03-21,2017,Mar,2016-2017,1,,2,6.978,6.978,7.02166145833333,6.978,7.079
2017-03-22,2017,Mar,2016-2017,1,,2,6.978,6.978,6.96747222222222,6.775,7.079
2017-03-23,2017,Mar,2016-2017,1,,2,6.978,6.978,6.98220833333333,6.877,7.079
2017-03-24,2017,Mar,2016-2017,1,,2,6.978,6.978,6.98010416666667,6.978,7.079
2017-03-25,2017,Mar,2016-2017,1,,2,7.079,6.978,7.03038020833333,6.877,7.179
2017-03-26,2017,Mar,2016-2017,1,,2,7.079,6.978,7.02845138888889,6.978,7.179
2017-03-27,2017,Mar,2016-2017,1,,2,7.179,7.079,7.04442361111111,6.978,7.179
2017-03-28,2017,Mar,2016-2017,1,,2,7.481,7.216875,7.20537847222222,7.079,7.481
2017-03-29,2017,Mar,2016-2017,1,,2,7.481,7.3305,7.35617361111111,7.079,7.582
2017-03-30,2017,Mar,2016-2017,1,,2,7.481,7.481,7.48115972222222,7.28,7.782
2017-03-31,2017,Mar,2016-2017,1,,2,7.481,7.582,7.54409027777778,7.481,7.682
2017-04-01,2017,Apr,2016-2017,1,,2,7.582,7.481,7.504671875,7.481,7.582
2017-04-02,2017,Apr,2016-2017,1,,2,7.983,7.782,7.83368576388889,7.582,8.082
2017-04-03,2017,Apr,2016-2017,1,,2,7.782,7.782,7.78443229166667,7.481,7.983
2017-04-04,2017,Apr,2016-2017,1,,2,7.682,7.782,7.77592361111111,7.682,7.882
2017-04-05,2017,Apr,2016-2017,1,,2,8.082,7.882,7.89611805555556,7.682,8.082
2017-04-06,2017,Apr,2016-2017,1,,2,7.782,7.983,7.972125,7.782,8.082
2017-04-07,2017,Apr,2016-2017,1,"MV:9 of 24 missing:1 of 24 flagged",3,,7.782,7.78646144466183,7.682,7.882
2017-04-08,2017,Apr,2016-2017,1,,9,,,,,
2017-04-09,2017,Apr,2016-2017,1,,9,,,,,
2017-04-10,2017,Apr,2016-2017,1,,9,,,,,
2017-04-11,2017,Apr,2016-2017,1,,9,,,,,
2017-04-12,2017,Apr,2016-2017,1,,9,,,,,
2017-04-13,2017,Apr,2016-2017,1,,9,,,,,
2017-04-14,2017,Apr,2016-2017,1,,9,,,,,
2017-04-15,2017,Apr,2016-2017,1,,9,,,,,
2017-04-16,2017,Apr,2016-2017,1,,9,,,,,
2017-04-17,2017,Apr,2016-2017,1,,9,,,,,
2017-04-18,2017,Apr,2016-2017,1,,9,,,,,
2017-04-19,2017,Apr,2016-2017,1,,9,,,,,
2017-04-20,2017,Apr,2016-2017,1,,9,,,,,
2017-04-21,2017,Apr,2016-2017,1,,9,,,,,
2017-04-22,2017,Apr,2016-2017,1,,9,,,,,
2017-04-23,2017,Apr,2016-2017,1,,9,,,,,
2017-04-24,2017,Apr,2016-2017,1,,9,,,,,
2017-04-25,2017,Apr,2016-2017,1,,9,,,,,
2017-04-26,2017,Apr,2016-2017,1,,9,,,,,
2017-04-27,2017,Apr,2016-2017,1,,9,,,,,
2017-04-28,2017,Apr,2016-2017,1,,9,,,,,
2017-04-29,2017,Apr,2016-2017,1,,9,,,,,
2017-04-30,2017,Apr,2016-2017,1,,9,,,,,
2017-05-01,2017,May,2016-2017,1,,9,,,,,
2017-05-02,2017,May,2016-2017,1,,9,,,,,
2017-05-03,2017,May,2016-2017,1,,9,,,,,
2017-05-04,2017,May,2016-2017,1,,9,,,,,
2017-05-05,2017,May,2016-2017,1,,9,,,,,
2017-05-06,2017,May,2016-2017,1,,9,,,,,
2017-05-07,2017,May,2016-2017,1,,9,,,,,
2017-05-08,2017,May,2016-2017,1,,9,,,,,
2017-05-09,2017,May,2016-2017,1,,9,,,,,
2017-05-10,2017,May,2016-2017,1,,9,,,,,
2017-05-11,2017,May,2016-2017,1,,9,,,,,
2017-05-12,2017,May,2016-2017,1,,9,,,,,
2017-05-13,2017,May,2016-2017,1,,9,,,,,
2017-05-14,2017,May,2016-2017,1,,9,,,,,
2017-05-15,2017,May,2016-2017,1,,9,,,,,
2017-05-16,2017,May,2016-2017,1,,9,,,,,
2017-05-17,2017,May,2016-2017,1,,9,,,,,
2017-05-18,2017,May,2016-2017,1,,9,,,,,
2017-05-19,2017,May,2016-2017,1,,9,,,,,
2017-05-20,2017,May,2016-2017,1,,9,,,,,
2017-05-21,2017,May,2016-2017,1,,9,,,,,
2017-05-22,2017,May,2016-2017,1,,9,,,,,
2017-05-23,2017,May,2016-2017,1,,9,,,,,
2017-05-24,2017,May,2016-2017,1,,9,,,,,
2017-05-25,2017,May,2016-2017,1,,9,,,,,
2017-05-26,2017,May,2016-2017,1,,9,,,,,
2017-05-27,2017,May,2016-2017,1,,9,,,,,
2017-05-28,2017,May,2016-2017,1,,9,,,,,
2017-05-29,2017,May,2016-2017,1,,9,,,,,
2017-05-30,2017,May,2016-2017,1,,9,,,,,
2017-05-31,2017,May,2016-2017,1,,9,,,,,
2017-06-01,2017,Jun,2016-2017,1,,9,,,,,
2017-06-02,2017,Jun,2016-2017,1,,9,,,,,
2017-06-03,2017,Jun,2016-2017,1,,9,,,,,
2017-06-04,2017,Jun,2016-2017,1,,9,,,,,
2017-06-05,2017,Jun,2016-2017,1,,9,,,,,
2017-06-06,2017,Jun,2016-2017,1,,9,,,,,
2017-06-07,2017,Jun,2016-2017,1,,9,,,,,
2017-06-08,2017,Jun,2016-2017,1,,9,,,,,
2017-06-09,2017,Jun,2016-2017,1,,9,,,,,
2017-06-10,2017,Jun,2016-2017,1,,9,,,,,
2017-06-11,2017,Jun,2016-2017,1,,9,,,,,
2017-06-12,2017,Jun,2016-2017,1,,9,,,,,
2017-06-13,2017,Jun,2016-2017,1,,9,,,,,
2017-06-14,2017,Jun,2016-2017,1,,9,,,,,
2017-06-15,2017,Jun,2016-2017,1,,9,,,,,
2017-06-16,2017,Jun,2016-2017,1,,9,,,,,
2017-06-17,2017,Jun,2016-2017,1,,9,,,,,
2017-06-18,2017,Jun,2016-2017,1,,9,,,,,
2017-06-19,2017,Jun,2016-2017,1,,9,,,,,
2017-06-20,2017,Jun,2016-2017,1,,9,,,,,
2017-06-21,2017,Jun,2016-2017,1,,9,,,,,
2017-06-22,2017,Jun,2016-2017,1,,9,,,,,
2017-06-23,2017,Jun,2016-2017,1,,9,,,,,
2017-06-24,2017,Jun,2016-2017,1,,9,,,,,
2017-06-25,2017,Jun,2016-2017,1,,9,,,,,
2017-06-26,2017,Jun,2016-2017,1,,9,,,,,
2017-06-27,2017,Jun,2016-2017,1,,9,,,,,
2017-06-28,2017,Jun,2016-2017,1,,9,,,,,
2017-06-29,2017,Jun,2016-2017,1,,9,,,,,
2017-06-30,2017,Jun,2016-2017,1,,9,,,,,
2017-07-01,2017,Jul,2016-2017,1,,9,,,,,
2017-07-02,2017,Jul,2016-2017,1,,9,,,,,
2017-07-03,2017,Jul,2016-2017,1,,9,,,,,
2017-07-04,2017,Jul,2016-2017,1,,9,,,,,
2017-07-05,2017,Jul,2016-2017,1,,9,,,,,
2017-07-06,2017,Jul,2016-2017,1,,9,,,,,
2017-07-07,2017,Jul,2016-2017,1,,9,,,,,
2017-07-08,2017,Jul,2016-2017,1,,9,,,,,
2017-07-09,2017,Jul,2016-2017,1,,9,,,,,
2017-07-10,2017,Jul,2016-2017,1,,9,,,,,
2017-07-11,2017,Jul,2016-2017,1,,9,,,,,
2017-07-12,2017,Jul,2016-2017,1,,9,,,,,
2017-07-13,2017,Jul,2016-2017,1,,9,,,,,
2017-07-14,2017,Jul,2016-2017,1,,9,,,,,
2017-07-15,2017,Jul,2016-2017,1,,9,,,,,
2017-07-16,2017,Jul,2016-2017,1,,9,,,,,
2017-07-17,2017,Jul,2016-2017,1,,9,,,,,
2017-07-18,2017,Jul,2016-2017,1,,9,,,,,
2017-07-19,2017,Jul,2016-2017,1,,9,,,,,
2017-07-20,2017,Jul,2016-2017,1,,9,,,,,
2017-07-21,2017,Jul,2016-2017,1,,9,,,,,
2017-07-22,2017,Jul,2016-2017,1,,9,,,,,
2017-07-23,2017,Jul,2016-2017,1,,9,,,,,
2017-07-24,2017,Jul,2016-2017,1,,9,,,,,
2017-07-25,2017,Jul,2016-2017,1,,9,,,,,
2017-07-26,2017,Jul,2016-2017,1,,9,,,,,
2017-07-27,2017,Jul,2016-2017,1,,9,,,,,
2017-07-28,2017,Jul,2016-2017,1,,9,,,,,
2017-07-29,2017,Jul,2016-2017,1,,9,,,,,
2017-07-30,2017,Jul,2016-2017,1,,9,,,,,
2017-07-31,2017,Jul,2016-2017,1,,9,,,,,
2017-08-01,2017,Aug,2016-2017,1,,9,,,,,
2017-08-02,2017,Aug,2016-2017,1,,9,,,,,
2017-08-03,2017,Aug,2016-2017,1,,9,,,,,
2017-08-04,2017,Aug,2016-2017,1,,9,,,,,
2017-08-05,2017,Aug,2016-2017,1,,9,,,,,
2017-08-06,2017,Aug,2016-2017,1,,9,,,,,
2017-08-07,2017,Aug,2016-2017,1,,9,,,,,
2017-08-08,2017,Aug,2016-2017,1,,9,,,,,
2017-08-09,2017,Aug,2016-2017,1,,9,,,,,
2017-08-10,2017,Aug,2016-2017,1,,9,,,,,
2017-08-11,2017,Aug,2016-2017,1,,9,,,,,
2017-08-12,2017,Aug,2016-2017,1,,9,,,,,
2017-08-13,2017,Aug,2016-2017,1,,9,,,,,
2017-08-14,2017,Aug,2016-2017,1,,9,,,,,
2017-08-15,2017,Aug,2016-2017,1,,9,,,,,
2017-08-16,2017,Aug,2016-2017,1,,9,,,,,
2017-08-17,2017,Aug,2016-2017,1,,9,,,,,
2017-08-18,2017,Aug,2016-2017,1,,9,,,,,
2017-08-19,2017,Aug,2016-2017,1,,9,,,,,
2017-08-20,2017,Aug,2016-2017,1,,9,,,,,
2017-08-21,2017,Aug,2016-2017,1,,9,,,,,
2017-08-22,2017,Aug,2016-2017,1,,9,,,,,
2017-08-23,2017,Aug,2016-2017,1,,9,,,,,
2017-08-24,2017,Aug,2016-2017,1,,9,,,,,
2017-08-25,2017,Aug,2016-2017,1,,9,,,,,
2017-08-26,2017,Aug,2016-2017,1,,9,,,,,
2017-08-27,2017,Aug,2016-2017,1,,9,,,,,
2017-08-28,2017,Aug,2016-2017,1,,9,,,,,
2017-08-29,2017,Aug,2016-2017,1,,9,,,,,
2017-08-30,2017,Aug,2016-2017,1,,9,,,,,
2017-08-31,2017,Aug,2016-2017,1,,9,,,,,
2017-09-01,2017,Sep,2016-2017,1,,9,,,,,
2017-09-02,2017,Sep,2016-2017,1,,9,,,,,
2017-09-03,2017,Sep,2016-2017,1,,9,,,,,
2017-09-04,2017,Sep,2016-2017,1,,9,,,,,
2017-09-05,2017,Sep,2016-2017,1,,9,,,,,
2017-09-06,2017,Sep,2016-2017,1,,9,,,,,
2017-09-07,2017,Sep,2016-2017,1,,9,,,,,
2017-09-08,2017,Sep,2016-2017,1,,9,,,,,
2017-09-09,2017,Sep,2016-2017,1,,9,,,,,
2017-09-10,2017,Sep,2016-2017,1,,9,,,,,
2017-09-11,2017,Sep,2016-2017,1,,9,,,,,
