Date,Year,Month,WaterYear,TWtrChoked_inner_sgrassQ_level,TWtrChoked_inner_sgrassQ_flags,TWtrChoked_inner_sgrassUNESCO_Q_level,TWtrChoked_inner_sgrass,TWtrChoked_inner_sgrassMed,TWtrChoked_inner_sgrassAvg,TWtrChoked_inner_sgrassMin,TWtrChoked_inner_sgrassMax
2017-02-15,2017,Feb,2016-2017,1,,2,7.582,7.582,7.53974131944444,7.481,7.582
2017-02-16,2017,Feb,2016-2017,1,,2,7.582,7.582,7.582,7.582,7.582
2017-02-17,2017,Feb,2016-2017,1,,2,7.582,7.582,7.61255555555555,7.582,7.682
2017-02-18,2017,Feb,2016-2017,1,,2,7.582,7.582,7.62088888888889,7.582,7.682
2017-02-19,2017,Feb,2016-2017,1,,2,7.682,7.607,7.6304375,7.582,7.682
2017-02-20,2017,Feb,2016-2017,1,,2,7.582,7.6445,7.63217361111111,7.582,7.782
2017-02-21,2017,Feb,2016-2017,1,,2,7.481,7.582,7.54494618055555,7.481,7.682
2017-02-22,2017,Feb,2016-2017,1,,2,7.381,7.481,7.48488888888889,7.381,7.582
2017-02-23,2017,Feb,2016-2017,1,,2,7.481,7.481,7.49775,7.381,7.582
2017-02-24,2017,Feb,2016-2017,1,,2,7.582,7.481,7.47537326388889,7.381,7.582
2017-02-25,2017,Feb,2016-2017,1,,2,7.28,7.481,7.45312152777778,7.28,7.582
2017-02-26,2017,Feb,2016-2017,1,,2,7.582,7.267375,7.25146180555556,7.079,7.582
2017-02-27,2017,Feb,2016-2017,1,,2,7.682,7.381,7.43702083333333,7.179,7.682
2017-02-28,2017,Feb,2016-2017,1,,2,6.978,7.381,7.35952083333333,6.978,7.682
2017-03-01,2017,Mar,2016-2017,1,,2,7.381,7.2295,7.23725868055555,7.0285,7.481
2017-03-02,2017,Mar,2016-2017,1,,2,7.179,7.179,7.20187152777778,7.079,7.3305
2017-03-03,2017,Mar,2016-2017,1,,2,7.28,7.28,7.26997048611111,7.179,7.481
2017-03-04,2017,Mar,2016-2017,1,,2,7.381,7.3935,7.42315798611111,7.28,7.481
2017-03-05,2017,Mar,2016-2017,1,,2,7.381,7.381,7.38582638888889,7.28,7.481
2017-03-06,2017,Mar,2016-2017,1,,2,7.381,7.28,7.32549305555556,7.179,7.481
2017-03-07,2017,Mar,2016-2017,1,,2,7.179,7.179,7.23201736111111,7.079,7.381
2017-03-08,2017,Mar,2016-2017,1,,2,7.079,7.179,7.12565277777778,6.978,7.179
2017-03-09,2017,Mar,2016-2017,1,,2,7.079,7.079,7.09064583333333,6.978,7.28
2017-03-10,2017,Mar,2016-2017,1,,2,7.481,7.179,7.17862847222222,6.978,7.481
2017-03-11,2017,Mar,2016-2017,1,,2,7.381,7.179,7.21654861111111,7.079,7.481
2017-03-12,2017,Mar,2016-2017,1,,2,7.381,7.179,7.20158333333333,7.079,7.381
2017-03-13,2017,Mar,2016-2017,1,,2,7.381,7.381,7.33120138888889,7.179,7.381
2017-03-14,2017,Mar,2016-2017,1,,2,7.381,7.381,7.37672916666667,7.28,7.481
2017-03-15,2017,Mar,2016-2017,1,,2,7.381,7.381,7.36906944444444,7.28,7.481
2017-03-16,2017,Mar,2016-2017,1,,2,7.28,7.381,7.34961284722222,7.28,7.381
2017-03-17,2017,Mar,2016-2017,1,,2,7.28,7.28,7.27789583333333,7.179,7.28
2017-03-18,2017,Mar,2016-2017,1,,2,7.179,7.28,7.27105729166666,7.179,7.381
2017-03-19,2017,Mar,2016-2017,1,,2,7.28,7.28,7.24896354166667,7.179,7.381
2017-03-20,2017,Mar,2016-2017,1,,2,7.28,7.28,7.28701388888889,7.179,7.381
2017-03-21,2017,Mar,2016-2017,1,,2,7.28,7.28,7.32124305555556,7.179,7.481
2017-03-22,2017,Mar,2016-2017,1,,2,7.28,7.343125,7.33810416666666,7.179,7.481
2017-03-23,2017,Mar,2016-2017,1,,2,7.381,7.381,7.33663715277778,7.28,7.381
2017-03-24,2017,Mar,2016-2017,1,,2,7.481,7.481,7.44054861111111,7.381,7.481
2017-03-25,2017,Mar,2016-2017,1,,2,7.481,7.381,7.41225,7.381,7.481
2017-03-26,2017,Mar,2016-2017,1,,2,7.582,7.481,7.47475520833333,7.381,7.582
2017-03-27,2017,Mar,2016-2017,1,,2,7.481,7.481,7.52255729166666,7.481,7.582
2017-03-28,2017,Mar,2016-2017,1,,2,7.582,7.582,7.53483159722222,7.481,7.582
2017-03-29,2017,Mar,2016-2017,1,,2,7.682,7.682,7.64571527777778,7.582,7.782
2017-03-30,2017,Mar,2016-2017,1,,2,7.882,7.682,7.72818055555555,7.682,7.882
2017-03-31,2017,Mar,2016-2017,1,"MV:10 of 24 missing",3,,7.782,7.7653401989896,7.682,7.8822306860507
2017-04-01,2017,Apr,2016-2017,1,,9,,,,,
2017-04-02,2017,Apr,2016-2017,1,,9,,,,,
2017-04-03,2017,Apr,2016-2017,1,,9,,,,,
2017-04-04,2017,Apr,2016-2017,1,,9,,,,,
2017-04-05,2017,Apr,2016-2017,1,,9,,,,,
2017-04-06,2017,Apr,2016-2017,1,,9,,,,,
2017-04-07,2017,Apr,2016-2017,1,,9,,,,,
2017-04-08,2017,Apr,2016-2017,1,,9,,,,,
2017-04-09,2017,Apr,2016-2017,1,,9,,,,,
2017-04-10,2017,Apr,2016-2017,1,,9,,,,,
2017-04-11,2017,Apr,2016-2017,1,,9,,,,,
2017-04-12,2017,Apr,2016-2017,1,,9,,,,,
2017-04-13,2017,Apr,2016-2017,1,,9,,,,,
2017-04-14,2017,Apr,2016-2017,1,,9,,,,,
2017-04-15,2017,Apr,2016-2017,1,,9,,,,,
2017-04-16,2017,Apr,2016-2017,1,,9,,,,,
2017-04-17,2017,Apr,2016-2017,1,,9,,,,,
2017-04-18,2017,Apr,2016-2017,1,,9,,,,,
2017-04-19,2017,Apr,2016-2017,1,,9,,,,,
2017-04-20,2017,Apr,2016-2017,1,,9,,,,,
2017-04-21,2017,Apr,2016-2017,1,,9,,,,,
2017-04-22,2017,Apr,2016-2017,1,,9,,,,,
2017-04-23,2017,Apr,2016-2017,1,,9,,,,,
2017-04-24,2017,Apr,2016-2017,1,,9,,,,,
2017-04-25,2017,Apr,2016-2017,1,,9,,,,,
2017-04-26,2017,Apr,2016-2017,1,,9,,,,,
2017-04-27,2017,Apr,2016-2017,1,,9,,,,,
2017-04-28,2017,Apr,2016-2017,1,,9,,,,,
2017-04-29,2017,Apr,2016-2017,1,,9,,,,,
2017-04-30,2017,Apr,2016-2017,1,,9,,,,,
2017-05-01,2017,May,2016-2017,1,,9,,,,,
2017-05-02,2017,May,2016-2017,1,,9,,,,,
2017-05-03,2017,May,2016-2017,1,,9,,,,,
2017-05-04,2017,May,2016-2017,1,,9,,,,,
2017-05-05,2017,May,2016-2017,1,,9,,,,,
2017-05-06,2017,May,2016-2017,1,,9,,,,,
2017-05-07,2017,May,2016-2017,1,,9,,,,,
2017-05-08,2017,May,2016-2017,1,,9,,,,,
2017-05-09,2017,May,2016-2017,1,,9,,,,,
2017-05-10,2017,May,2016-2017,1,,9,,,,,
2017-05-11,2017,May,2016-2017,1,,9,,,,,
2017-05-12,2017,May,2016-2017,1,,9,,,,,
2017-05-13,2017,May,2016-2017,1,,9,,,,,
2017-05-14,2017,May,2016-2017,1,,9,,,,,
2017-05-15,2017,May,2016-2017,1,,9,,,,,
2017-05-16,2017,May,2016-2017,1,,9,,,,,
2017-05-17,2017,May,2016-2017,1,,9,,,,,
2017-05-18,2017,May,2016-2017,1,,9,,,,,
2017-05-19,2017,May,2016-2017,1,,9,,,,,
2017-05-20,2017,May,2016-2017,1,,9,,,,,
2017-05-21,2017,May,2016-2017,1,,9,,,,,
2017-05-22,2017,May,2016-2017,1,,9,,,,,
2017-05-23,2017,May,2016-2017,1,,9,,,,,
2017-05-24,2017,May,2016-2017,1,,9,,,,,
2017-05-25,2017,May,2016-2017,1,,9,,,,,
2017-05-26,2017,May,2016-2017,1,,9,,,,,
2017-05-27,2017,May,2016-2017,1,,9,,,,,
2017-05-28,2017,May,2016-2017,1,,9,,,,,
2017-05-29,2017,May,2016-2017,1,,9,,,,,
2017-05-30,2017,May,2016-2017,1,,9,,,,,
2017-05-31,2017,May,2016-2017,1,,9,,,,,
2017-06-01,2017,Jun,2016-2017,1,,9,,,,,
2017-06-02,2017,Jun,2016-2017,1,,9,,,,,
2017-06-03,2017,Jun,2016-2017,1,,9,,,,,
2017-06-04,2017,Jun,2016-2017,1,,9,,,,,
2017-06-05,2017,Jun,2016-2017,1,,9,,,,,
2017-06-06,2017,Jun,2016-2017,1,,9,,,,,
2017-06-07,2017,Jun,2016-2017,1,,9,,,,,
2017-06-08,2017,Jun,2016-2017,1,,9,,,,,
2017-06-09,2017,Jun,2016-2017,1,,9,,,,,
2017-06-10,2017,Jun,2016-2017,1,,9,,,,,
2017-06-11,2017,Jun,2016-2017,1,,9,,,,,
2017-06-12,2017,Jun,2016-2017,1,,9,,,,,
2017-06-13,2017,Jun,2016-2017,1,,9,,,,,
2017-06-14,2017,Jun,2016-2017,1,,9,,,,,
2017-06-15,2017,Jun,2016-2017,1,,9,,,,,
2017-06-16,2017,Jun,2016-2017,1,,9,,,,,
2017-06-17,2017,Jun,2016-2017,1,,9,,,,,
2017-06-18,2017,Jun,2016-2017,1,,9,,,,,
2017-06-19,2017,Jun,2016-2017,1,,9,,,,,
2017-06-20,2017,Jun,2016-2017,1,,9,,,,,
2017-06-21,2017,Jun,2016-2017,1,,9,,,,,
2017-06-22,2017,Jun,2016-2017,1,,9,,,,,
2017-06-23,2017,Jun,2016-2017,1,,9,,,,,
2017-06-24,2017,Jun,2016-2017,1,,9,,,,,
2017-06-25,2017,Jun,2016-2017,1,,9,,,,,
2017-06-26,2017,Jun,2016-2017,1,,9,,,,,
2017-06-27,2017,Jun,2016-2017,1,,9,,,,,
2017-06-28,2017,Jun,2016-2017,1,,9,,,,,
2017-06-29,2017,Jun,2016-2017,1,,9,,,,,
2017-06-30,2017,Jun,2016-2017,1,,9,,,,,
2017-07-01,2017,Jul,2016-2017,1,,9,,,,,
2017-07-02,2017,Jul,2016-2017,1,,9,,,,,
2017-07-03,2017,Jul,2016-2017,1,,9,,,,,
2017-07-04,2017,Jul,2016-2017,1,,9,,,,,
2017-07-05,2017,Jul,2016-2017,1,,9,,,,,
2017-07-06,2017,Jul,2016-2017,1,,9,,,,,
2017-07-07,2017,Jul,2016-2017,1,,9,,,,,
2017-07-08,2017,Jul,2016-2017,1,,9,,,,,
2017-07-09,2017,Jul,2016-2017,1,,9,,,,,
2017-07-10,2017,Jul,2016-2017,1,,9,,,,,
2017-07-11,2017,Jul,2016-2017,1,,9,,,,,
2017-07-12,2017,Jul,2016-2017,1,,9,,,,,
2017-07-13,2017,Jul,2016-2017,1,,9,,,,,
2017-07-14,2017,Jul,2016-2017,1,,9,,,,,
2017-07-15,2017,Jul,2016-2017,1,,9,,,,,
2017-07-16,2017,Jul,2016-2017,1,,9,,,,,
2017-07-17,2017,Jul,2016-2017,1,,9,,,,,
2017-07-18,2017,Jul,2016-2017,1,,9,,,,,
2017-07-19,2017,Jul,2016-2017,1,,9,,,,,
2017-07-20,2017,Jul,2016-2017,1,,9,,,,,
2017-07-21,2017,Jul,2016-2017,1,,9,,,,,
2017-07-22,2017,Jul,2016-2017,1,,9,,,,,
2017-07-23,2017,Jul,2016-2017,1,,9,,,,,
2017-07-24,2017,Jul,2016-2017,1,,9,,,,,
2017-07-25,2017,Jul,2016-2017,1,,9,,,,,
2017-07-26,2017,Jul,2016-2017,1,,9,,,,,
2017-07-27,2017,Jul,2016-2017,1,,9,,,,,
2017-07-28,2017,Jul,2016-2017,1,,9,,,,,
2017-07-29,2017,Jul,2016-2017,1,,9,,,,,
2017-07-30,2017,Jul,2016-2017,1,,9,,,,,
2017-07-31,2017,Jul,2016-2017,1,,9,,,,,
2017-08-01,2017,Aug,2016-2017,1,,9,,,,,
2017-08-02,2017,Aug,2016-2017,1,,9,,,,,
2017-08-03,2017,Aug,2016-2017,1,,9,,,,,
2017-08-04,2017,Aug,2016-2017,1,,9,,,,,
2017-08-05,2017,Aug,2016-2017,1,,9,,,,,
2017-08-06,2017,Aug,2016-2017,1,,9,,,,,
2017-08-07,2017,Aug,2016-2017,1,,9,,,,,
2017-08-08,2017,Aug,2016-2017,1,,9,,,,,
2017-08-09,2017,Aug,2016-2017,1,,9,,,,,
2017-08-10,2017,Aug,2016-2017,1,,9,,,,,
2017-08-11,2017,Aug,2016-2017,1,,9,,,,,
2017-08-12,2017,Aug,2016-2017,1,,9,,,,,
2017-08-13,2017,Aug,2016-2017,1,,9,,,,,
2017-08-14,2017,Aug,2016-2017,1,,9,,,,,
2017-08-15,2017,Aug,2016-2017,1,,9,,,,,
2017-08-16,2017,Aug,2016-2017,1,,9,,,,,
2017-08-17,2017,Aug,2016-2017,1,,9,,,,,
2017-08-18,2017,Aug,2016-2017,1,,9,,,,,
2017-08-19,2017,Aug,2016-2017,1,,9,,,,,
2017-08-20,2017,Aug,2016-2017,1,,9,,,,,
2017-08-21,2017,Aug,2016-2017,1,,9,,,,,
2017-08-22,2017,Aug,2016-2017,1,,9,,,,,
2017-08-23,2017,Aug,2016-2017,1,,9,,,,,
2017-08-24,2017,Aug,2016-2017,1,,9,,,,,
2017-08-25,2017,Aug,2016-2017,1,,9,,,,,
2017-08-26,2017,Aug,2016-2017,1,,9,,,,,
2017-08-27,2017,Aug,2016-2017,1,,9,,,,,
2017-08-28,2017,Aug,2016-2017,1,,9,,,,,
2017-08-29,2017,Aug,2016-2017,1,,9,,,,,
2017-08-30,2017,Aug,2016-2017,1,,9,,,,,
2017-08-31,2017,Aug,2016-2017,1,,9,,,,,
2017-09-01,2017,Sep,2016-2017,1,,9,,,,,
2017-09-02,2017,Sep,2016-2017,1,,9,,,,,
2017-09-03,2017,Sep,2016-2017,1,,9,,,,,
2017-09-04,2017,Sep,2016-2017,1,,9,,,,,
2017-09-05,2017,Sep,2016-2017,1,,9,,,,,
2017-09-06,2017,Sep,2016-2017,1,,9,,,,,
2017-09-07,2017,Sep,2016-2017,1,,9,,,,,
2017-09-08,2017,Sep,2016-2017,1,,9,,,,,
2017-09-09,2017,Sep,2016-2017,1,,9,,,,,
2017-09-10,2017,Sep,2016-2017,1,,9,,,,,
2017-09-11,2017,Sep,2016-2017,1,,9,,,,,
2017-09-12,2017,Sep,2016-2017,1,,9,,,,,
2017-09-13,2017,Sep,2016-2017,1,,9,,,,,
2017-09-14,2017,Sep,2016-2017,1,,9,,,,,
2017-09-15,2017,Sep,2016-2017,1,,9,,,,,
2017-09-16,2017,Sep,2016-2017,1,,9,,,,,
2017-09-17,2017,Sep,2016-2017,1,,9,,,,,
2017-09-18,2017,Sep,2016-2017,1,,9,,,,,
