Date,Year,Month,WaterYear,TWtrTriquet_kelpQ_level,TWtrTriquet_kelpQ_flags,TWtrTriquet_kelpUNESCO_Q_level,TWtrTriquet_kelp,TWtrTriquet_kelpMed,TWtrTriquet_kelpAvg,TWtrTriquet_kelpMin,TWtrTriquet_kelpMax
2016-01-21,2016,Jan,2015-2016,1,,2,8.02,7.995,7.98970486111111,7.92,8.07
2016-01-22,2016,Jan,2015-2016,1,,2,8.245,8.1575,8.11787326388889,7.97,8.245
2016-01-23,2016,Jan,2015-2016,1,,2,8.17,8.22,8.21092881944445,8.045,8.245
2016-01-24,2016,Jan,2015-2016,1,,2,8.02,8.17,8.13171875,7.97,8.22
2016-01-25,2016,Jan,2015-2016,1,,2,8.145,7.995,7.982109375,7.87,8.145
2016-01-26,2016,Jan,2015-2016,1,,2,8.319,8.195,8.19780902777778,8.145,8.319
2016-01-27,2016,Jan,2015-2016,1,,2,8.394,8.344,8.34793923611111,8.295,8.419
2016-01-28,2016,Jan,2015-2016,1,,2,8.344,8.369,8.36995486111111,8.344,8.394
2016-01-29,2016,Jan,2015-2016,1,,2,8.22,8.298,8.309,8.195,8.394
2016-01-30,2016,Jan,2015-2016,1,,2,8.145,8.195,8.21713715277777,8.07,8.319
2016-01-31,2016,Jan,2015-2016,1,,2,8.07,8.12,8.09478298611111,7.97,8.22
2016-02-01,2016,Feb,2015-2016,1,,2,7.995,8.035625,8.05901909722222,7.945,8.195
2016-02-02,2016,Feb,2015-2016,1,,2,8.02,7.945,7.94131076388889,7.82,8.045
2016-02-03,2016,Feb,2015-2016,1,,2,7.87,7.86375,7.86904513888889,7.82,8.045
2016-02-04,2016,Feb,2015-2016,1,,2,8.045,7.916875,7.92733506944444,7.82,8.045
2016-02-05,2016,Feb,2015-2016,1,,2,8.02,8.045,8.04122395833333,7.995,8.095
2016-02-06,2016,Feb,2015-2016,1,,2,8.12,7.97625,7.98788194444444,7.895,8.12
2016-02-07,2016,Feb,2015-2016,1,,2,8.145,8.141875,8.135234375,8.07,8.17
2016-02-08,2016,Feb,2015-2016,1,,2,8.17,8.12,8.13037326388889,8.07,8.22
2016-02-09,2016,Feb,2015-2016,1,,2,8.145,8.145,8.12542534722222,8.02,8.195
2016-02-10,2016,Feb,2015-2016,1,,2,8.045,8.07,8.06739583333333,7.995,8.145
2016-02-11,2016,Feb,2015-2016,1,,2,8.12,8.023125,8.04191840277778,7.995,8.12
2016-02-12,2016,Feb,2015-2016,1,,2,8.195,8.179375,8.16674479166667,8.12,8.22
2016-02-13,2016,Feb,2015-2016,1,,2,8.17,8.195,8.19469618055555,8.12,8.22
2016-02-14,2016,Feb,2015-2016,1,,2,8.419,8.369,8.325796875,8.145,8.419
2016-02-15,2016,Feb,2015-2016,1,,2,8.419,8.440875,8.4424375,8.369,8.519
2016-02-16,2016,Feb,2015-2016,1,,2,8.593,8.419,8.46007986111111,8.319,8.593
2016-02-17,2016,Feb,2015-2016,1,,2,8.519,8.618,8.61732291666667,8.519,8.668
2016-02-18,2016,Feb,2015-2016,1,,2,8.494,8.444,8.44630034722222,8.369,8.519
2016-02-19,2016,Feb,2015-2016,1,,2,8.295,8.369,8.37453993055555,8.295,8.494
2016-02-20,2016,Feb,2015-2016,1,,2,8.543,8.42525,8.38965277777777,8.17,8.618
2016-02-21,2016,Feb,2015-2016,1,,2,8.295,8.2575,8.29425,8.22,8.531
2016-02-22,2016,Feb,2015-2016,1,,2,8.494,8.43775,8.38043923611111,8.145,8.568
2016-02-23,2016,Feb,2015-2016,1,,2,8.643,8.54,8.51342881944444,8.145,8.668
2016-02-24,2016,Feb,2015-2016,1,,2,8.618,8.643,8.64217534722222,8.568,8.693
2016-02-25,2016,Feb,2015-2016,1,,2,8.717,8.693,8.67009201388889,8.593,8.717
2016-02-26,2016,Feb,2015-2016,1,,2,8.891,8.792,8.82228819444445,8.717,8.965
2016-02-27,2016,Feb,2015-2016,1,,2,8.866,8.916,8.910078125,8.817,8.965
2016-02-28,2016,Feb,2015-2016,1,,2,8.891,8.881625,8.88943576388889,8.817,8.99
2016-02-29,2016,Feb,2015-2016,1,,2,8.99,8.974875,8.95277951388889,8.841,9.064
2016-03-01,2016,Mar,2015-2016,1,,2,8.618,8.8535,8.82783333333334,8.618,8.99
2016-03-02,2016,Mar,2015-2016,1,,2,8.742,8.7295,8.70005555555556,8.618,8.817
2016-03-03,2016,Mar,2015-2016,1,,2,8.767,8.717,8.68294270833333,8.494,8.792
2016-03-04,2016,Mar,2015-2016,1,,2,8.792,8.717,8.72563020833334,8.693,8.792
2016-03-05,2016,Mar,2015-2016,1,,2,8.767,8.817,8.81569618055556,8.742,8.965
2016-03-06,2016,Mar,2015-2016,1,,2,8.717,8.767,8.75876736111111,8.693,8.817
2016-03-07,2016,Mar,2015-2016,1,,2,8.792,8.717,8.71813368055555,8.568,8.792
2016-03-08,2016,Mar,2015-2016,1,,2,8.668,8.74825,8.73366666666667,8.643,8.792
2016-03-09,2016,Mar,2015-2016,1,,2,8.866,8.742,8.70189236111111,8.543,8.866
2016-03-10,2016,Mar,2015-2016,1,,2,8.792,8.817,8.81362847222222,8.717,8.866
2016-03-11,2016,Mar,2015-2016,1,,2,8.618,8.693,8.70935763888889,8.618,8.7795
2016-03-12,2016,Mar,2015-2016,1,,2,8.543,8.602375,8.60961631944445,8.519,8.767
2016-03-13,2016,Mar,2015-2016,1,,2,8.618,8.6055,8.60853645833333,8.444,8.717
2016-03-14,2016,Mar,2015-2016,1,,2,8.568,8.618,8.62728819444444,8.543,8.693
2016-03-15,2016,Mar,2015-2016,1,,2,8.693,8.639875,8.64983159722222,8.543,8.717
2016-03-16,2016,Mar,2015-2016,1,,2,8.717,8.668,8.71116666666667,8.568,8.965
2016-03-17,2016,Mar,2015-2016,1,,2,8.618,8.717,8.74213715277778,8.618,8.941
2016-03-18,2016,Mar,2015-2016,1,,2,8.693,8.643,8.66198090277778,8.593,8.792
2016-03-19,2016,Mar,2015-2016,1,,2,8.693,8.668,8.66657638888889,8.593,8.742
2016-03-20,2016,Mar,2015-2016,1,,2,8.618,8.618,8.62507465277778,8.568,8.693
2016-03-21,2016,Mar,2015-2016,1,,2,8.717,8.643,8.65084201388889,8.543,8.742
2016-03-22,2016,Mar,2015-2016,1,,2,8.817,8.745125,8.76743750000001,8.693,8.866
2016-03-23,2016,Mar,2015-2016,1,,2,8.817,8.817,8.81161805555556,8.792,8.866
2016-03-24,2016,Mar,2015-2016,1,,2,8.916,8.866,8.85094618055555,8.742,8.941
2016-03-25,2016,Mar,2015-2016,1,,2,8.965,8.941,8.95939409722222,8.817,9.114
2016-03-26,2016,Mar,2015-2016,1,,2,8.767,8.841,8.83461458333333,8.767,8.965
2016-03-27,2016,Mar,2015-2016,1,,2,8.866,8.770125,8.77740451388889,8.593,9.015
2016-03-28,2016,Mar,2015-2016,1,,2,9.064,9.021125,9.01647569444444,8.817,9.262
2016-03-29,2016,Mar,2015-2016,1,,2,9.139,9.163,9.16771006944445,8.965,9.435
2016-03-30,2016,Mar,2015-2016,1,,2,9.534,9.21925,9.26384895833333,9.015,9.682
2016-03-31,2016,Mar,2015-2016,1,,2,9.805,9.497,9.58018923611111,9.435,9.829
2016-04-01,2016,Apr,2015-2016,1,,2,9.583,9.608,9.57138541666667,9.139,9.854
2016-04-02,2016,Apr,2015-2016,1,,2,10.271,9.66325,9.75064583333333,9.485,10.369
2016-04-03,2016,Apr,2015-2016,1,,2,9.509,9.712625,9.71060763888889,9.435,10.198
2016-04-04,2016,Apr,2015-2016,1,,2,9.608,9.826,9.805453125,9.509,9.928
2016-04-05,2016,Apr,2015-2016,1,,2,9.089,9.308875,9.34674131944445,9.089,9.608
2016-04-06,2016,Apr,2015-2016,1,,2,9.262,9.139,9.17052604166667,9.089,9.312
2016-04-07,2016,Apr,2015-2016,1,,2,9.41,9.287,9.33707638888889,9.213,9.706
2016-04-08,2016,Apr,2015-2016,1,,2,9.485,9.41,9.41175173611111,9.312,9.583
2016-04-09,2016,Apr,2015-2016,1,,2,9.509,9.336,9.39325,9.188,9.682
2016-04-10,2016,Apr,2015-2016,1,,2,9.608,9.463125,9.45699479166667,9.262,9.608
2016-04-11,2016,Apr,2015-2016,1,,2,9.41,9.425625,9.44228819444444,9.361,9.608
2016-04-12,2016,Apr,2015-2016,1,,2,9.386,9.41,9.41105555555555,9.361,9.46
2016-04-13,2016,Apr,2015-2016,1,,2,9.41,9.386,9.37422916666667,9.262,9.509
2016-04-14,2016,Apr,2015-2016,1,,2,9.608,9.4935,9.48328819444444,9.238,9.756
2016-04-15,2016,Apr,2015-2016,1,,2,9.41,9.509,9.49549652777778,9.361,9.632
2016-04-16,2016,Apr,2015-2016,1,,2,9.41,9.41,9.41610416666667,9.386,9.485
2016-04-17,2016,Apr,2015-2016,1,,2,9.534,9.413125,9.47488194444444,9.41,9.682
2016-04-18,2016,Apr,2015-2016,1,,2,9.78,9.583,9.72988541666666,9.509,10.222
2016-04-19,2016,Apr,2015-2016,1,,2,9.657,9.78,9.87410243055555,9.583,10.222
2016-04-20,2016,Apr,2015-2016,1,,2,9.534,9.8355,9.955609375,9.509,10.81
2016-04-21,2016,Apr,2015-2016,1,,2,10.173,9.977,9.96397395833333,9.534,10.345
2016-04-22,2016,Apr,2015-2016,1,,2,10.001,10.149,10.2138541666667,9.682,10.712
2016-04-23,2016,Apr,2015-2016,1,,2,10.051,10.121,10.0622118055556,9.682,10.173
2016-04-24,2016,Apr,2015-2016,1,,2,9.903,9.9,9.88944444444444,9.805,10.051
2016-04-25,2016,Apr,2015-2016,1,,2,10.051,9.891,9.9426875,9.756,10.173
2016-04-26,2016,Apr,2015-2016,1,,2,9.829,9.879,9.91626041666667,9.829,10.075
2016-04-27,2016,Apr,2015-2016,1,,2,10.394,9.9525,10.1687204861111,9.829,10.687
2016-04-28,2016,Apr,2015-2016,1,,2,10.149,10.149,10.201515625,10.124,10.394
2016-04-29,2016,Apr,2015-2016,1,,2,10.394,10.222,10.258921875,10.051,10.614
2016-04-30,2016,Apr,2015-2016,1,,2,10.394,10.3295,10.2957569444444,10.1,10.467
2016-05-01,2016,May,2015-2016,1,,2,10.98,10.357,10.4985173611111,10.198,11.224
2016-05-02,2016,May,2015-2016,1,,2,10.907,10.779125,10.7949809027778,10.565,11.053
2016-05-03,2016,May,2015-2016,1,,2,10.663,10.684,10.6886805555556,10.541,10.907
2016-05-04,2016,May,2015-2016,1,,2,10.516,10.638,10.6987621527778,10.026,11.346
2016-05-05,2016,May,2015-2016,1,,2,9.903,10.53775,10.4969947916667,9.854,11.127
2016-05-06,2016,May,2015-2016,1,,2,9.657,10.6445,10.5663506944444,9.657,11.37
2016-05-07,2016,May,2015-2016,1,,2,10.296,10.3235,10.211828125,9.608,10.663
2016-05-08,2016,May,2015-2016,1,,2,10.32,10.253,10.2682430555556,9.977,10.736
2016-05-09,2016,May,2015-2016,1,,2,10.492,10.3905,10.35375,9.829,10.785
2016-05-10,2016,May,2015-2016,1,,2,10.614,10.614,10.4684340277778,9.879,10.834
2016-05-11,2016,May,2015-2016,1,,2,10.638,10.5895,10.5394791666667,10.271,10.687
2016-05-12,2016,May,2015-2016,1,,2,11.005,10.519125,10.5694253472222,10.124,11.005
2016-05-13,2016,May,2015-2016,1,,2,11.37,10.907,10.8824704861111,10.492,11.37
2016-05-14,2016,May,2015-2016,1,,2,10.858,10.9135,10.9219166666667,10.565,11.516
2016-05-15,2016,May,2015-2016,1,,2,10.785,10.73025,10.8180989583333,10.418,11.419
2016-05-16,2016,May,2015-2016,1,,2,10.712,11.068625,11.0197864583333,10.565,11.394
2016-05-17,2016,May,2015-2016,1,,2,11.175,11.1935,11.1682864583333,10.724,11.37
2016-05-18,2016,May,2015-2016,1,,2,10.907,11.102,11.0853055555556,10.907,11.467
2016-05-19,2016,May,2015-2016,1,,2,10.883,11.13875,11.2283680555556,10.858,12.001
2016-05-20,2016,May,2015-2016,1,,2,11.346,11.127,11.1076614583333,10.467,11.589
2016-05-21,2016,May,2015-2016,1,,2,10.932,11.4155,11.4549340277778,10.932,11.832
2016-05-22,2016,May,2015-2016,1,,2,11.589,11.37,11.3649704861111,10.614,11.88
2016-05-23,2016,May,2015-2016,1,,2,10.858,11.0595,11.0204635416667,10.467,11.419
2016-05-24,2016,May,2015-2016,1,,2,10.98,10.849,10.7434340277778,10.026,11.053
2016-05-25,2016,May,2015-2016,1,,2,10.834,10.843,10.74378125,9.706,11.029
2016-05-26,2016,May,2015-2016,1,,2,11.127,10.788125,10.8294357638889,10.394,11.273
2016-05-27,2016,May,2015-2016,1,,2,10.785,10.745625,10.7183368055556,10.075,11.1025
2016-05-28,2016,May,2015-2016,1,,2,11.419,10.883,10.9046354166667,10.271,11.953
2016-05-29,2016,May,2015-2016,1,,2,11.078,11.01375,11.1504670138889,10.492,11.807
2016-05-30,2016,May,2015-2016,1,,2,11.102,11.1875,11.2905625,10.565,12.364
2016-05-31,2016,May,2015-2016,1,,2,11.662,11.4185,11.4212777777778,10.956,11.783
2016-06-01,2016,Jun,2015-2016,1,,2,11.759,11.54,11.564359375,11.37,11.783
2016-06-02,2016,Jun,2015-2016,1,,2,11.953,11.828875,11.8431006944444,11.686,12.05
2016-06-03,2016,Jun,2015-2016,1,,2,11.467,11.844,11.7786979166667,11.467,12.001
2016-06-04,2016,Jun,2015-2016,1,,2,11.807,11.8195,11.911625,11.443,12.678
2016-06-05,2016,Jun,2015-2016,1,,2,11.686,11.93775,11.9882586805556,11.686,12.389
2016-06-06,2016,Jun,2015-2016,1,,2,11.977,12.143875,12.2031059027778,11.589,12.799
2016-06-07,2016,Jun,2015-2016,1,,2,12.171,12.074,11.9077326388889,10.956,12.219
2016-06-08,2016,Jun,2015-2016,1,,2,12.05,11.8555,11.8006614583333,11.273,12.171
2016-06-09,2016,Jun,2015-2016,1,,2,12.147,12.055875,11.9150260416667,10.834,12.703
2016-06-10,2016,Jun,2015-2016,1,,2,11.832,11.807,11.8054149305556,11.467,12.292
2016-06-11,2016,Jun,2015-2016,1,,2,12.534,11.8195,11.9717048611111,11.248,12.582
2016-06-12,2016,Jun,2015-2016,1,,2,12.074,12.101,12.1922986111111,11.904,12.678
