Date,Year,Month,WaterYear,TWtrChoked_sandspit_sgrassQ_level,TWtrChoked_sandspit_sgrassQ_flags,TWtrChoked_sandspit_sgrassUNESCO_Q_level,TWtrChoked_sandspit_sgrass,TWtrChoked_sandspit_sgrassMed,TWtrChoked_sandspit_sgrassAvg,TWtrChoked_sandspit_sgrassMin,TWtrChoked_sandspit_sgrassMax
2015-12-21,2015,Dec,2015-2016,1,,2,9.188,9.247,9.25469791666667,9.188,9.361
2015-12-22,2015,Dec,2015-2016,1,,2,9.114,9.139,9.15034375,9.064,9.238
2015-12-23,2015,Dec,2015-2016,1,,2,8.767,9.024375,9.01885243055555,8.767,9.213
2015-12-24,2015,Dec,2015-2016,1,,2,9.015,8.751375,8.74663888888889,8.394,9.089
2015-12-25,2015,Dec,2015-2016,1,,2,8.817,8.723375,8.71549652777778,8.394,9.064
2015-12-26,2015,Dec,2015-2016,1,,2,8.319,8.494,8.56720486111111,8.295,8.941
2015-12-27,2015,Dec,2015-2016,1,,2,8.568,8.568,8.52309548611111,8.245,8.668
2015-12-28,2015,Dec,2015-2016,1,,2,8.494,8.633625,8.62368402777778,8.444,8.742
2015-12-29,2015,Dec,2015-2016,1,,2,8.394,8.558625,8.54427777777778,8.369,8.717
2015-12-30,2015,Dec,2015-2016,1,,2,8.095,8.394,8.35890104166666,8.095,8.668
2015-12-31,2015,Dec,2015-2016,1,,2,7.995,8.25125,8.25070138888889,7.995,8.543
2016-01-01,2016,Jan,2015-2016,1,,2,7.995,8.098125,8.10523611111111,7.92,8.319
2016-01-02,2016,Jan,2015-2016,1,,2,7.995,8.060625,8.09409027777778,7.87,8.319
2016-01-03,2016,Jan,2015-2016,1,,2,7.845,7.92625,7.94925347222222,7.77,8.195
2016-01-04,2016,Jan,2015-2016,1,,2,7.77,7.8325,7.82062326388889,7.594,8.02
2016-01-05,2016,Jan,2015-2016,1,,2,7.745,7.77,7.78405034722222,7.569,7.97
2016-01-06,2016,Jan,2015-2016,1,,2,7.695,7.619,7.65391319444444,7.494,8.17
2016-01-07,2016,Jan,2015-2016,1,,2,7.77,7.645,7.64544618055556,7.494,7.845
2016-01-08,2016,Jan,2015-2016,1,,2,7.97,7.745,7.77027083333333,7.519,8.02
2016-01-09,2016,Jan,2015-2016,1,,2,8.469,7.835625,7.86565451388889,7.695,8.469
2016-01-10,2016,Jan,2015-2016,1,,2,8.02,8.06375,8.08893923611111,7.945,8.519
2016-01-11,2016,Jan,2015-2016,1,,2,8.145,8.1075,8.10658854166667,7.97,8.22
2016-01-12,2016,Jan,2015-2016,1,,2,8.319,8.248125,8.26221180555556,8.12,8.369
2016-01-13,2016,Jan,2015-2016,1,,2,8.27,8.319,8.30580729166667,8.245,8.369
2016-01-14,2016,Jan,2015-2016,1,,2,8.17,8.27,8.26490277777778,8.145,8.319
2016-01-15,2016,Jan,2015-2016,1,,2,8.17,8.204375,8.19239583333333,8.095,8.245
2016-01-16,2016,Jan,2015-2016,1,,2,8.469,8.365875,8.36533506944444,8.17,8.543
2016-01-17,2016,Jan,2015-2016,1,,2,8.394,8.397125,8.40853993055555,8.319,8.494
2016-01-18,2016,Jan,2015-2016,1,,2,8.369,8.37525,8.38102256944445,8.344,8.444
2016-01-19,2016,Jan,2015-2016,1,,2,8.394,8.419,8.40558854166667,8.319,8.494
2016-01-20,2016,Jan,2015-2016,1,,2,8.419,8.394,8.40124826388889,8.319,8.469
2016-01-21,2016,Jan,2015-2016,1,,2,8.494,8.497125,8.48357118055556,8.369,8.568
2016-01-22,2016,Jan,2015-2016,1,,2,8.394,8.444,8.45215972222222,8.369,8.519
2016-01-23,2016,Jan,2015-2016,1,,2,8.394,8.394,8.397125,8.344,8.469
2016-01-24,2016,Jan,2015-2016,1,,2,8.394,8.378375,8.37807638888889,8.295,8.444
2016-01-25,2016,Jan,2015-2016,1,,2,8.519,8.46275,8.45194270833333,8.369,8.519
2016-01-26,2016,Jan,2015-2016,1,,2,8.419,8.469,8.46993055555556,8.394,8.543
2016-01-27,2016,Jan,2015-2016,1,,2,8.519,8.444,8.44504166666667,8.394,8.519
2016-01-28,2016,Jan,2015-2016,1,,2,8.419,8.469,8.45597916666667,8.419,8.519
2016-01-29,2016,Jan,2015-2016,1,,2,8.319,8.41275,8.40945138888889,8.319,8.469
2016-01-30,2016,Jan,2015-2016,1,,2,8.27,8.298,8.309578125,8.27,8.369
2016-01-31,2016,Jan,2015-2016,1,,2,8.295,8.27,8.273234375,8.245,8.319
2016-02-01,2016,Feb,2015-2016,1,,2,8.319,8.322125,8.30761111111111,8.195,8.444
2016-02-02,2016,Feb,2015-2016,1,,2,8.245,8.295,8.29321180555555,8.22,8.344
2016-02-03,2016,Feb,2015-2016,1,,2,8.045,8.1575,8.16600694444445,7.995,8.27
2016-02-04,2016,Feb,2015-2016,1,,2,8.12,8.045,8.05250868055555,7.995,8.12
2016-02-05,2016,Feb,2015-2016,1,,2,8.145,8.166875,8.16752604166667,8.07,8.27
2016-02-06,2016,Feb,2015-2016,1,,2,8.145,8.12,8.11565972222222,8.02,8.22
2016-02-07,2016,Feb,2015-2016,1,,2,8.295,8.22,8.24176736111111,8.12,8.369
2016-02-08,2016,Feb,2015-2016,1,,2,8.22,8.295,8.28740104166666,8.22,8.344
2016-02-09,2016,Feb,2015-2016,1,,2,8.295,8.210625,8.21778645833333,8.095,8.295
2016-02-10,2016,Feb,2015-2016,1,,2,8.319,8.27,8.28439583333333,8.22,8.369
2016-02-11,2016,Feb,2015-2016,1,,2,8.394,8.32525,8.31961284722222,8.245,8.469
2016-02-12,2016,Feb,2015-2016,1,,2,8.643,8.568,8.58444270833333,8.394,8.841
2016-02-13,2016,Feb,2015-2016,1,,2,8.618,8.627375,8.63510590277778,8.568,8.717
2016-02-14,2016,Feb,2015-2016,1,,2,8.643,8.668,8.671421875,8.618,8.717
2016-02-15,2016,Feb,2015-2016,1,,2,8.668,8.668,8.65910243055556,8.618,8.693
2016-02-16,2016,Feb,2015-2016,1,,2,8.792,8.720125,8.72731944444445,8.618,8.841
2016-02-17,2016,Feb,2015-2016,1,,2,8.767,8.767,8.76513368055555,8.717,8.792
2016-02-18,2016,Feb,2015-2016,1,,2,8.817,8.792,8.79132291666667,8.717,8.866
2016-02-19,2016,Feb,2015-2016,1,,2,8.866,8.866,8.85118576388889,8.742,8.941
2016-02-20,2016,Feb,2015-2016,1,,2,8.866,8.866,8.87483333333333,8.767,8.941
2016-02-21,2016,Feb,2015-2016,1,,2,9.015,8.85675,8.85813715277778,8.792,9.015
2016-02-22,2016,Feb,2015-2016,1,,2,9.188,9.098375,9.05563020833333,8.841,9.188
2016-02-23,2016,Feb,2015-2016,1,,2,9.139,9.114,9.12066840277778,9.015,9.238
2016-02-24,2016,Feb,2015-2016,1,,2,9.163,9.114,9.12140277777778,9.015,9.262
2016-02-25,2016,Feb,2015-2016,1,,2,9.188,9.163,9.15121354166667,9.064,9.238
2016-02-26,2016,Feb,2015-2016,1,,2,9.163,9.163,9.17085590277778,9.114,9.262
2016-02-27,2016,Feb,2015-2016,1,,2,9.139,9.139,9.15786805555556,9.114,9.262
2016-02-28,2016,Feb,2015-2016,1,,2,9.163,9.16,9.17193055555556,9.114,9.312
2016-02-29,2016,Feb,2015-2016,1,,2,9.139,9.163,9.18925694444445,9.114,9.287
2016-03-01,2016,Mar,2015-2016,1,,2,9.089,9.114,9.10678819444444,9.064,9.163
2016-03-02,2016,Mar,2015-2016,1,,2,9.04,9.089,9.06746701388889,8.916,9.163
2016-03-03,2016,Mar,2015-2016,1,,2,9.04,9.043,9.06635416666666,8.99,9.213
2016-03-04,2016,Mar,2015-2016,1,,2,8.941,9.015,8.99520659722222,8.891,9.064
2016-03-05,2016,Mar,2015-2016,1,,2,8.916,8.937875,8.94894618055555,8.866,9.114
2016-03-06,2016,Mar,2015-2016,1,,2,8.841,8.8785,8.87778298611111,8.817,8.941
2016-03-07,2016,Mar,2015-2016,1,,2,8.891,8.841,8.84057986111111,8.742,8.891
2016-03-08,2016,Mar,2015-2016,1,,2,8.841,8.841,8.84488541666667,8.792,8.916
2016-03-09,2016,Mar,2015-2016,1,,2,8.941,8.866,8.85004166666667,8.717,8.941
2016-03-10,2016,Mar,2015-2016,1,,2,8.941,8.891,8.89617361111111,8.817,8.99
2016-03-11,2016,Mar,2015-2016,1,,2,8.891,8.9035,8.90969791666667,8.866,8.99
2016-03-12,2016,Mar,2015-2016,1,,2,8.866,8.900375,8.90305034722222,8.841,8.99
2016-03-13,2016,Mar,2015-2016,1,,2,8.817,8.891,8.88243229166667,8.817,8.916
2016-03-14,2016,Mar,2015-2016,1,,2,8.965,8.947,8.93045138888889,8.817,9.015
2016-03-15,2016,Mar,2015-2016,1,,2,8.99,9.0025,9.00061631944445,8.891,9.163
2016-03-16,2016,Mar,2015-2016,1,,2,9.015,9.061,9.06270659722222,8.916,9.287
2016-03-17,2016,Mar,2015-2016,1,,2,9.089,9.089,9.08066319444445,8.916,9.312
2016-03-18,2016,Mar,2015-2016,1,,2,9.064,9.064,9.05766840277778,8.916,9.188
2016-03-19,2016,Mar,2015-2016,1,,2,8.916,8.96825,8.98075694444444,8.916,9.064
2016-03-20,2016,Mar,2015-2016,1,,2,8.965,8.92225,8.919796875,8.841,8.99
2016-03-21,2016,Mar,2015-2016,1,,2,8.965,8.965,8.97484027777778,8.891,9.089
2016-03-22,2016,Mar,2015-2016,1,,2,8.99,8.965,8.96889409722222,8.866,9.04
2016-03-23,2016,Mar,2015-2016,1,,2,8.891,9.018125,9.02369270833333,8.891,9.114
2016-03-24,2016,Mar,2015-2016,1,,2,8.792,8.891,8.89657465277778,8.792,8.941
2016-03-25,2016,Mar,2015-2016,1,,2,8.99,8.965,8.93358680555555,8.767,9.064
2016-03-26,2016,Mar,2015-2016,1,,2,8.916,8.99,9.00205902777778,8.916,9.064
2016-03-27,2016,Mar,2015-2016,1,,2,8.965,8.965,8.98953993055556,8.866,9.163
2016-03-28,2016,Mar,2015-2016,1,,2,9.089,9.089,9.110375,8.965,9.312
2016-03-29,2016,Mar,2015-2016,1,,2,9.188,9.169625,9.17417534722222,8.941,9.361
2016-03-30,2016,Mar,2015-2016,1,,2,9.213,9.259,9.252734375,9.064,9.46
2016-03-31,2016,Mar,2015-2016,1,,2,9.336,9.271375,9.33650868055556,9.114,9.756
2016-04-01,2016,Apr,2015-2016,1,,2,9.41,9.435,9.42567013888889,9.213,9.583
2016-04-02,2016,Apr,2015-2016,1,,2,9.485,9.389,9.45058506944445,9.163,9.879
2016-04-03,2016,Apr,2015-2016,1,,2,9.485,9.494,9.46864583333334,9.163,9.706
2016-04-04,2016,Apr,2015-2016,1,,2,9.435,9.485,9.49279513888889,9.336,9.608
2016-04-05,2016,Apr,2015-2016,1,,2,9.213,9.213,9.24401041666667,9.188,9.435
2016-04-06,2016,Apr,2015-2016,1,,2,9.287,9.2255,9.22742708333333,9.163,9.312
2016-04-07,2016,Apr,2015-2016,1,,2,9.336,9.321,9.31106770833333,9.188,9.485
2016-04-08,2016,Apr,2015-2016,1,,2,9.41,9.361,9.36976041666667,9.238,9.608
2016-04-09,2016,Apr,2015-2016,1,,2,9.435,9.41,9.39461631944445,9.262,9.534
2016-04-10,2016,Apr,2015-2016,1,,2,9.336,9.312,9.31083854166667,9.262,9.4225
2016-04-11,2016,Apr,2015-2016,1,,2,9.361,9.37975,9.382609375,9.262,9.558
2016-04-12,2016,Apr,2015-2016,1,,2,9.336,9.435,9.45567534722222,9.336,9.608
2016-04-13,2016,Apr,2015-2016,1,,2,9.41,9.407,9.42882986111111,9.336,9.583
2016-04-14,2016,Apr,2015-2016,1,,2,9.558,9.555,9.568625,9.312,10.1
2016-04-15,2016,Apr,2015-2016,1,,2,9.534,9.561125,9.58065972222222,9.509,9.682
2016-04-16,2016,Apr,2015-2016,1,,2,9.558,9.558,9.55476388888889,9.509,9.608
2016-04-17,2016,Apr,2015-2016,1,,2,9.608,9.54,9.57805902777778,9.509,9.854
2016-04-18,2016,Apr,2015-2016,1,,2,9.632,9.608,9.64410416666666,9.485,10.149
2016-04-19,2016,Apr,2015-2016,1,,2,9.583,9.611,9.67564756944444,9.485,10.198
2016-04-20,2016,Apr,2015-2016,1,,2,9.706,9.67575,9.707578125,9.509,10.222
2016-04-21,2016,Apr,2015-2016,1,,2,9.682,9.7185,9.74169444444444,9.534,9.977
2016-04-22,2016,Apr,2015-2016,1,,2,10.026,9.74025,9.75440972222222,9.608,10.026
2016-04-23,2016,Apr,2015-2016,1,,2,10.247,10.0045,9.98490798611111,9.608,10.345
2016-04-24,2016,Apr,2015-2016,1,,2,9.829,9.847875,9.86839930555555,9.558,10.271
2016-04-25,2016,Apr,2015-2016,1,,2,9.928,9.731,9.70086979166667,9.46,9.928
2016-04-26,2016,Apr,2015-2016,1,,2,9.879,9.82,9.81062673611111,9.632,9.977
2016-04-27,2016,Apr,2015-2016,1,,2,10.222,10.059625,10.0759947916667,9.829,10.369
2016-04-28,2016,Apr,2015-2016,1,,2,9.854,9.8725,9.90467361111111,9.608,10.222
2016-04-29,2016,Apr,2015-2016,1,,2,9.854,9.879,10.0026527777778,9.731,10.712
2016-04-30,2016,Apr,2015-2016,1,,2,9.928,9.992,9.95730208333334,9.682,10.345
2016-05-01,2016,May,2015-2016,1,,2,10.124,10.0135,10.1198680555556,9.756,10.687
2016-05-02,2016,May,2015-2016,1,,2,10.173,10.366375,10.3132760416667,9.805,10.858
2016-05-03,2016,May,2015-2016,1,,2,10.075,10.072125,10.0352534722222,9.632,10.492
2016-05-04,2016,May,2015-2016,1,,2,10.001,9.87275,9.92442013888889,9.485,10.59
2016-05-05,2016,May,2015-2016,1,,2,9.756,9.795625,9.81899479166667,9.583,10.173
2016-05-06,2016,May,2015-2016,1,,2,9.829,9.78925,9.78282465277778,9.46,10.296
2016-05-07,2016,May,2015-2016,1,,2,9.903,9.78,9.76227430555556,9.558,9.952
2016-05-08,2016,May,2015-2016,1,,2,9.903,9.8415,9.82402777777778,9.485,10.075
2016-05-09,2016,May,2015-2016,1,,2,9.829,9.786375,9.76926041666667,9.386,10.026
2016-05-10,2016,May,2015-2016,1,,2,9.879,9.768,9.71657986111111,9.41,9.952
2016-05-11,2016,May,2015-2016,1,,2,9.903,9.8695,9.86798611111111,9.46,10.222
2016-05-12,2016,May,2015-2016,1,,2,9.805,9.949,9.99151736111111,9.534,10.541
2016-05-13,2016,May,2015-2016,1,,2,10.222,10.14275,10.1701510416667,9.706,10.59
2016-05-14,2016,May,2015-2016,1,,2,10.492,10.7145,10.9006979166667,10.173,12.001
2016-05-15,2016,May,2015-2016,1,,2,11.175,11.443,11.3443836805556,10.5285,12.098
2016-05-16,2016,May,2015-2016,1,,2,10.785,11.2545,11.2687881944444,10.1,12.219
2016-05-17,2016,May,2015-2016,1,,2,11.419,11.236,11.1550104166667,9.583,12.05
2016-05-18,2016,May,2015-2016,1,,2,11.443,11.5645,11.5292986111111,10.736,12.074
2016-05-19,2016,May,2015-2016,1,,2,10.883,11.011,11.0232777777778,9.731,11.759
2016-05-20,2016,May,2015-2016,1,,2,9.534,10.277625,10.2406614583333,9.509,10.907
2016-05-21,2016,May,2015-2016,1,,2,10.394,10.023,10.0623888888889,9.435,11.078
2016-05-22,2016,May,2015-2016,1,,2,11.127,10.525375,10.5732274305556,9.756,11.467
2016-05-23,2016,May,2015-2016,1,,2,10.345,10.626,10.6095798611111,9.854,11.419
2016-05-24,2016,May,2015-2016,1,,2,10.075,10.04775,10.0840243055556,9.435,10.516
2016-05-25,2016,May,2015-2016,1,,2,9.756,9.95825,9.947109375,9.287,10.32
2016-05-26,2016,May,2015-2016,1,,2,10.369,9.826,9.88801909722222,9.336,10.394
2016-05-27,2016,May,2015-2016,1,,2,9.854,9.912375,9.87459548611111,9.46,10.394
2016-05-28,2016,May,2015-2016,1,,2,10.785,10.415125,10.5001475694444,9.854,11.637
2016-05-29,2016,May,2015-2016,1,,2,9.854,11.23275,11.2009010416667,9.854,11.953
2016-05-30,2016,May,2015-2016,1,,2,10.81,11.129625,10.9808611111111,9.854,11.977
2016-05-31,2016,May,2015-2016,1,,2,10.369,10.626375,10.6547447916667,9.558,11.637
2016-06-01,2016,Jun,2015-2016,1,,2,10.785,11.282,11.3874722222222,9.756,12.34
2016-06-02,2016,Jun,2015-2016,1,,2,11.565,11.39425,11.5270208333333,9.706,12.606
2016-06-03,2016,Jun,2015-2016,1,,2,12.098,11.8195,11.8752760416667,11.321,12.558
2016-06-04,2016,Jun,2015-2016,1,,2,11.783,12.074,12.1314982638889,11.54,12.558
2016-06-05,2016,Jun,2015-2016,1,,2,11.443,11.41875,11.3457916666667,10.663,11.88
2016-06-06,2016,Jun,2015-2016,1,,2,11.37,11.1265,11.1364461805556,10.418,11.734
2016-06-07,2016,Jun,2015-2016,1,,2,11.2,11.1055,11.0980868055556,10.443,11.492
2016-06-08,2016,Jun,2015-2016,1,,2,10.956,10.73,10.7363472222222,9.952,11.1875
2016-06-09,2016,Jun,2015-2016,1,,2,11.686,11.2055,11.1808993055556,10.345,11.904
2016-06-10,2016,Jun,2015-2016,1,,2,10.785,11.169125,11.1585364583333,10.492,11.759
